key,ko,en,ja,비고
racer.name,{0}번 {1},#{0} {1},{0}番 {1},동물 표기 이름 = 등번호+종명 (전광판·피드·피규어 공용)
racer.fallback,{0}번,#{0},{0}番,동물을 못 찾았을 때 번호만
feed.skill.roar,{0}의 포효!! 전원이 움츠러든다!,{0} lets out a mighty roar!! Everyone flinches!,{0}の咆哮！！みんながすくみ上がる！,호랑이
feed.skill.ignore,...{0}은(는) 관심이 없다.,...{0} couldn't care less.,…{0}は興味がない。,펭귄 면역
feed.skill.catwalk,"{0}이(가) 사뿐사뿐, 코너를 풀스피드로 파고든다!",{0} tiptoes through the corner at full speed!,{0}が軽やかにコーナーをフルスピードで攻める！,고양이
feed.skill.dash,{0}이(가) 냅다 달린다!!,{0} bolts off like crazy!!,{0}が全力疾走！！,치킨
feed.skill.clubrush,{0}이(가) 몽둥이를 들고 난동을 부린다!!,{0} goes on a rampage with a club!!,{0}が棍棒を持って大暴れ！！,인간 (v18)
feed.skill.rudolph,{0}이(가) 하늘로 날아올랐다! 루돌프다!,{0} soars into the sky! It's Rudolph!,{0}が空へ舞い上がった！ルドルフだ！,사슴
feed.exec.warning,살벌한 무전이 울렸다... 꼴찌는 각오해라!,A chilling radio call rings out... last place had better watch out!,物騒な無線が鳴った…ビリは覚悟しろ！,처형 무전기 예고
feed.exec.hit,무전 한 방! {0}이(가) 레이스에서 끌려 나갔다!,One radio call! {0} is dragged out of the race!,無線一発！{0}がレースから連れ出された！,처형 집행
feed.item.target,<b>[{0}]</b> {1}에게 <color=#FFB020>{2}</color>!,<b>[{0}]</b> <color=#FFB020>{2}</color> on {1}!,<b>[{0}]</b> {1}に<color=#FFB020>{2}</color>！,아이템 사용 (0=플레이어 1=동물 2=아이템)
feed.item.notarget,<b>[{0}]</b> <color=#FFB020>{1}</color>!,<b>[{0}]</b> <color=#FFB020>{1}</color>!,<b>[{0}]</b> <color=#FFB020>{1}</color>！,처형 무전기 (대상 미정)
feed.finish,{0} <b>{1}위</b> 결승선 통과,{0} crosses the line in <b>P{1}</b>,{0}が<b>{1}位</b>でゴール,완주
feed.eliminated,{0} <color=#FF6B6B><b>탈락!</b></color>,{0} <color=#FF6B6B><b>Eliminated!</b></color>,{0}<color=#FF6B6B><b>脱落！</b></color>,처형 탈락
settings.mode.fullscreen,전체화면,Fullscreen,フルスクリーン,화면 모드
settings.mode.windowed,창모드,Windowed,ウィンドウ,화면 모드
skill.name.finalsprint,최후의 질주,Final Sprint,ラストスパート,말
skill.name.rudolph,루돌프,Rudolph,ルドルフ,사슴
skill.name.roar,포효,Roar,咆哮,호랑이
skill.name.catwalk,사뿐한 발놀림,Cat Walk,軽やかな足取り,고양이
skill.name.loyalty,근성,Grit,根性,개
skill.name.dash,냅다 달리기,Mad Dash,全力疾走,치킨
skill.name.clubrush,몽둥이 질주,Club Rush,棍棒ダッシュ,인간 (v18)
skill.name.apathy,무관심,Apathy,無関心,펭귄
skill.desc.finalsprint,[패시브] 레이스 막판(85%~)에 속도 +20%,[Passive] +20% speed in the final stretch (85%+),【パッシブ】レース終盤(85%～)に速度+20%,
skill.desc.rudolph,"[액티브] 경기 중 1회, 10초 거리의 전방 지점까지 하늘을 날아 5초 만에 도달한다","[Active] Once per race, fly to a point 10s ahead in just 5s",【アクティブ】レース中1回、10秒先の地点まで空を飛び5秒で到達,
skill.desc.roar,"[액티브] 경기 중 1회, 포효로 자신을 제외한 전원을 5초간 50% 감속","[Active] Once per race, roar to slow everyone else by 50% for 5s",【アクティブ】レース中1回、咆哮で自分以外の全員を5秒間50%減速,
skill.desc.catwalk,"[액티브] 경기 중 1회, 20초간 코너 감속을 무시하고 풀스피드로 코너링","[Active] Once per race, ignore corner slowdown and take corners at full speed for 20s",【アクティブ】レース中1回、20秒間コーナー減速を無視してフルスピードでコーナリング,
skill.desc.clubrush,"[액티브] 경기 중 1회, 10초간 몽둥이를 들고 2배속으로 질주 — 부딪히는 동물은 1초간 스턴","[Active] Once per race, sprint at double speed for 10s wielding a club — animals in the way are stunned for 1s",【アクティブ】レース中1回、10秒間棍棒を持って2倍速で疾走 — ぶつかった動物は1秒スタン,인간 (v18)
skill.desc.loyalty,[패시브] 꼴등인 동안 속도 +30% — 악착같이 따라붙는다,[Passive] +30% speed while in last place — never gives up,【パッシブ】最下位の間は速度+30% — 必死に食らいつく,
skill.desc.dash,"[액티브] 경기 중 1회, 8초간 속도 +50% 폭주","[Active] Once per race, +50% speed rampage for 8s",【アクティブ】レース中1回、8秒間速度+50%で暴走,
skill.desc.apathy,[패시브] 모든 스킬·아이템 효과를 무시한다,[Passive] Immune to all skill and item effects,【パッシブ】全てのスキル・アイテム効果を無視する,
skill.none,스킬 없음,No skill,スキルなし,
bet.place1,1등에 예측하기,Predict 1st place,1位に予想する,상자 조준 안내
bet.place2,2등 이상에 예측하기,Predict 2nd or better,2位以上に予想する,
bet.place3,3등 이상에 예측하기,Predict 3rd or better,3位以上に予想する,
bet.inspect,여기에 올려 살펴보기,Place here to inspect,ここに置いて観察する,전시대
bet.slot1,1등,1st,1位,HUD 예측 요약 (폴백 텍스트)
bet.slot2,2등↑,2nd↑,2位↑,
bet.slot3,3등↑,3rd↑,3位↑,
room.guidance,자기 방에 들어가 베팅하세요!,Enter your room and place your bet!,自分の部屋に入ってベットしよう！,베팅 중 방 밖 안내
room.confirm,E - 예측 확정,E - Confirm prediction,E - 予想を確定,
room.needboxes,상자 3개에 피규어를 넣으세요,Place figurines in all 3 boxes,3つの箱にフィギュアを置いてください,
